id,text,is_valid,departure_canonical,arrival_canonical,departure_surface,arrival_surface,departure_span_start,departure_span_end,arrival_span_start,arrival_span_end,has_noise,template_id
17,Réserve-moi quelque chose.,0,,,,,-1,-1,-1,-1,0,-1
18,Je veux aller voir Paris.,0,,,,,-1,-1,-1,-1,0,-1
19,"Hey, je veux une correspondance Lyon - Pau la semaine prochaine sans correspondance stp.",1,Lyon,Pau,Lyon,Pau,32,36,39,42,0,299
20,Je veux un train.,0,,,,,-1,-1,-1,-1,0,-1
21,J’ai besoin de un train depuis Toulouse jusqu’à Lyon vendredi pas trop cher,1,Toulouse,Lyon,Toulouse,Lyon,31,39,48,52,0,344
22,"Bonjour, je veux une liaison ferroviaire Brest - Aix-en-Provence avec une correspondance Avec Troyes je voyage.",1,Brest,Aix-en-Provence,Brest,Aix-en-Provence,41,46,49,64,0,108
23,Je souhaiterais un train au départ de Brest pour bOrdeaux ce soir en première classe,1,Brest,Bordeaux,Brest,bOrdeaux,38,43,49,57,1,12
24,"Salut, je voudrais un itinéraire de Rennes jusqu'à tours samedi matin s'il te plaît.",1,Rennes,Tours,Rennes,tours,36,42,51,56,1,252
25,"Salut, je voudrais un train de Saint-Malo jusque LILLE demain le plus rapide possible stp.",1,Saint-Malo,Lille,Saint-Malo,LILLE,31,41,49,54,1,256
26,Peux-tu une correspondance en partant de AIX EN PROVENCE pour aller à CLERMONT-FERRAND demain après-midi est-ce possible ?,1,Aix-en-Provence,Clermont-Ferrand,AIX EN PROVENCE,CLERMONT-FERRAND,41,56,70,86,1,160
27,Je pars demain.,0,,,,,-1,-1,-1,-1,0,-1
28,"S'il te plaît, je veux une liaison ferroviaire de GRenobLE vers eL-Mans dans 2 heures le plus rapide possible",1,Grenoble,Le Mans,GRenobLE,eL-Mans,50,58,64,71,1,250
29,J'aimerais un itinéraire au départ de Reims pour Metz tu peux regarder ? Je vais voir mon ami Dieppe.,1,Reims,Metz,Reims,Metz,38,43,49,53,0,408
30,Peux-tu un voyage metZ → Strasbourg dans 2 heures le plus rapide possible est-ce possible ?,1,Metz,Strasbourg,metZ,Strasbourg,18,22,25,35,1,289
31,J’ai besoin de un voyage de Bordeaux vers Angers vendredi en première classe s'il te plaît.,1,Bordeaux,Angers,Bordeaux,Angers,28,36,42,48,0,308
32,Je cherche une liaison ferroviaire pour aller à Nantes depuis Aix en Provence dans 2 heures en première classe,1,Aix-en-Provence,Nantes,Aix en Provence,Nantes,62,77,48,54,1,77
33,Je veux une pizza à pau.,0,,,,,-1,-1,-1,-1,0,-1
34,Peux-tu un train de MAreilLE vers PoRt-bOuLet demain après-midi en première classe ?,1,Marseille,Port-Boulet,MAreilLE,PoRt-bOuLet,20,28,34,45,1,16
35,Je veux une pizza à Le Mans.,0,,,,,-1,-1,-1,-1,0,-1
36,Je voudrais un billet de Pau jusqu'à Strasbourg demain après-midi le plus rapide possible Je vais voir mon ami Orange.,1,Pau,Strasbourg,Pau,Strasbourg,25,28,37,47,0,369
37,J’ai besoin de une liaison ferroviaire Brest - Metz demain matin avec une correspondance s'il te plaît.,1,Brest,Metz,Brest,Metz,39,44,47,51,0,335
38,J'aimerais une liaison ferroviaire de Nancy jusque SAInt-etinNe ce soir avec une correspondance,1,Nancy,Saint-Étienne,Nancy,SAInt-etinNe,38,43,51,63,1,183
39,Tu peux un train pour aller à marseille depuis Strasbourg dans 2 heures sans correspondance ?,1,Strasbourg,Marseille,Strasbourg,marseille,47,57,30,39,1,127
40,Je pars demain.,0,,,,,-1,-1,-1,-1,0,-1
41,Je veux un voyage entre Renne et Pau vendredi avec une correspondance stp.,1,Rennes,Pau,Renne,Pau,24,29,33,36,1,242
42,Tu peux un billet de train de Angers vers Grenoble demain après-midi le plus rapide possible ?,1,Angers,Grenoble,Angers,Grenoble,30,36,42,50,0,367
43,Tu peux une correspondance de Dijo à Clermont Ferrand,1,Dijon,Clermont-Ferrand,Dijo,Clermont Ferrand,30,34,37,53,1,261
44,"Hey, je veux un billet de train de Lille vers Bordeaux samedi matin le plus rapide possible tu peux regarder ?",1,Lille,Bordeaux,Lille,Bordeaux,35,40,46,54,0,110
45,"Bonjour, je veux un billet de train de bREsT à Sain-Étienne aujourd'hui pas trop cher s'il te plaît. Je dois rejoindre Albert avant de partir.",1,Brest,Saint-Étienne,bREsT,Sain-Étienne,39,44,47,59,1,48
46,"S'il te plaît, je veux un train au départ de Port oulet pour Paris samedi matin en seconde stp.",1,Port-Boulet,Paris,Port oulet,Paris,45,55,61,66,1,21
47,"Avec Dieppe, on discute de lyon.",0,,,,,-1,-1,-1,-1,0,-1
48,"Salut, je voudrais un trajet de Port-Boulet à Avignon vendredi le plus rapide possible",1,Port-Boulet,Avignon,Port-Boulet,Avignon,32,43,46,53,0,380
49,"Bonjour, je veux un voyage de Strasbourg vers Pau demain matin sans correspondance est-ce possible ?",1,Strasbourg,Pau,Strasbourg,Pau,30,40,46,49,0,198
50,T'as des nouvelles de Florence ?,0,,,,,-1,-1,-1,-1,0,-1
51,"S'il te plaît, je veux un voyage entre AIX-EN-PROVENCE et Reims demain matin avec une correspondance",1,Aix-en-Provence,Reims,AIX-EN-PROVENCE,Reims,39,54,58,63,1,323
52,"S'il te plaît, je veux une correspondance depuis Avgnon jusqu’à la ROchelLe dans 2 heures sans correspondance ?",1,Avignon,La Rochelle,Avgnon,la ROchelLe,49,55,64,75,1,107
53,J’ai besoin de un voyage de AVIgnOn vers Limoges vendredi en première classe s'il te plaît.,1,Avignon,Limoges,AVIgnOn,Limoges,28,35,41,48,1,308
54,"S'il te plaît, je veux une correspondance de Clermont-Ferrand vers Strasbourg demain le plus rapide possible stp.",1,Clermont-Ferrand,Strasbourg,Clermont-Ferrand,Strasbourg,45,61,67,77,0,391
55,Peux-tu une liaison ferroviaire de ORLÉANS jusqu'à Nantes aujourd'hui en seconde est-ce possible ?,1,Orléans,Nantes,ORLÉANS,Nantes,35,42,51,57,1,175
56,J'aimerais un train au départ de oTurs pour La-Rochelle aujourd'hui en seconde est-ce possible ?,1,Tours,La Rochelle,oTurs,La-Rochelle,33,38,44,55,1,88
57,Je veux un train.,0,,,,,-1,-1,-1,-1,0,-1
58,Tu peux un train entre ORLEANS et lyoN dans 2 heures pas trop cher stp.,1,Orléans,Lyon,ORLEANS,lyoN,23,30,34,38,1,82
59,Je cherche une liaison ferroviaire de MARSEILLE vers Orleans ce soir en première classe,1,Marseille,Orléans,MARSEILLE,Orleans,38,47,53,60,1,155
60,Je veux aller voir Paris.,0,,,,,-1,-1,-1,-1,0,-1
61,"Hey, je veux un trajet au départ de DIJON pour Besançon demain après-midi ?",1,Dijon,Besançon,DIJON,Besançon,36,41,47,55,1,413
62,Tu peux un itinéraire en partant de Caen pour aller à La Rochelle demain matin avec une correspondance tu peux regarder ?,1,Caen,La Rochelle,Caen,La Rochelle,36,40,54,65,0,350
63,Tu peux un billet AVIGNON → La Rochelle samedi matin en seconde s'il te plaît.,1,Avignon,La Rochelle,AVIGNON,La Rochelle,18,25,28,39,1,228
64,J'aimerais un billet entre REIMS et Perpignan demain après-midi en seconde stp.,1,Reims,Perpignan,REIMS,Perpignan,27,32,36,45,1,301
65,"S'il te plaît, je veux une correspondance de Lille vers Paris demain le plus rapide possible stp.",1,Lille,Paris,Lille,Paris,45,50,56,61,0,391
66,J’ai besoin de un voyage en partant de Clermont-Ferrand pour aller à LIOGES vendredi sans correspondance ?,1,Clermont-Ferrand,Limoges,Clermont-Ferrand,LIOGES,39,55,69,75,1,38
67,Je veux une pizza à Pau.,0,,,,,-1,-1,-1,-1,0,-1
68,J’ai besoin de une correspondance en partant de TOULOUSE pour aller à Limoges demain après-midi le plus rapide possible tu peux regarder ?,1,Toulouse,Limoges,TOULOUSE,Limoges,48,56,70,77,1,46
69,J’ai besoin de un voyage en partant de Dijon pour aller à saiNT-Malo vendredi sans correspondance ?,1,Dijon,Saint-Malo,Dijon,saiNT-Malo,39,44,58,68,1,38
70,Je veux une pizza à Brest.,0,,,,,-1,-1,-1,-1,0,-1
71,Je cherche une correspondance de Caen jusque Nice vendredi en seconde,1,Caen,Nice,Caen,Nice,33,37,45,49,0,231
72,Je souhaiterais un itinéraire de Port-Boulet jusque perpiganN le plus rapide possible est-ce possible ?,1,Port-Boulet,Perpignan,Port-Boulet,perpiganN,33,44,52,61,1,394
73,Tu peux un trajet de Nantes vers paris demain matin le plus rapide possible ?,1,Nantes,Paris,Nantes,paris,21,27,33,38,1,158
74,T'as des nouvelles de Paris ?,0,,,,,-1,-1,-1,-1,0,-1
75,Je souhaiterais un itinéraire de Sint Malo jusque Tours vendredi est-ce possible ?,1,Saint-Malo,Tours,Sint Malo,Tours,33,42,50,55,1,133
76,Je veux aller voir Florence.,0,,,,,-1,-1,-1,-1,0,-1
77,"Bonjour, je veux un train de Grenoble jusqu'à Nantes la semaine prochaine ?",1,Grenoble,Nantes,Grenoble,Nantes,29,37,46,52,0,316
78,"Bonjour, je veux un voyage entre Paris et arseille samedi matin le plus rapide possible s'il te plaît.",1,Paris,Marseille,Paris,arseille,33,38,42,50,1,122
79,Je veux une pizza à Montpellier.,0,,,,,-1,-1,-1,-1,0,-1
80,Je cherche un voyage dijon - BESANÇON le plus rapide possible est-ce possible ?,1,Dijon,Besançon,dijon,BESANÇON,21,26,29,37,1,178
81,T'as des nouvelles de Albert ?,0,,,,,-1,-1,-1,-1,0,-1
82,Je voudrais un train de La-Rochelle vers Nantes demain après-midi en première classe stp.,1,La Rochelle,Nantes,La-Rochelle,Nantes,24,35,41,47,1,162
83,Je veux un train.,0,,,,,-1,-1,-1,-1,0,-1
84,"Hey, je veux un train depuis rennes jusqu’à Port Boulet aujourd'hui s'il te plaît.",1,Rennes,Port-Boulet,rennes,Port Boulet,29,35,44,55,1,149
85,"Hey, je veux un trajet au départ de Toulouse pour Lille demain après-midi ?",1,Toulouse,Lille,Toulouse,Lille,36,44,50,55,0,413
86,Je pars demain.,0,,,,,-1,-1,-1,-1,0,-1
87,"Hey, je veux une liaison ferroviaire au départ de Besançon pour niCe dans 2 heures le plus rapide possible",1,Besançon,Nice,Besançon,niCe,50,58,64,68,1,342
88,Je cherche un train de MARSEILLE à BRES demain pas trop cher ?,1,Marseille,Brest,MARSEILLE,BRES,23,32,35,39,1,312
89,Je pars demain.,0,,,,,-1,-1,-1,-1,0,-1
90,T'as des nouvelles de Dieppe ?,0,,,,,-1,-1,-1,-1,0,-1
91,"Salut, je voudrais un itinéraire depuis Avignon jusqu’à tours dans 2 heures en première classe tu peux regarder ?",1,Avignon,Tours,Avignon,tours,40,47,56,61,1,33
92,"Hey, je veux une liaison ferroviaire au départ de NANC pour Brest aujourd'hui en seconde stp.",1,Nancy,Brest,NANC,Brest,50,54,60,65,1,373
93,Je souhaiterais un trajet de Port Boule jusque Lyon demain avec une correspondance tu peux regarder ? Avec Paris je voyage.,1,Port-Boulet,Lyon,Port Boule,Lyon,29,39,47,51,1,361
94,Je voudrais un voyage Nantes - Strasbourg dans 2 heures le plus rapide possible s'il te plaît.,1,Nantes,Strasbourg,Nantes,Strasbourg,22,28,31,41,0,35
95,J'aimerais un trajet au départ de Montpellier pour Paris samedi matin avec une correspondance,1,Montpellier,Paris,Montpellier,Paris,34,45,51,56,0,206
96,Tu peux un itinéraire au départ de Perpignan pour tUlouSe samedi matin pas trop cher tu peux regarder ?,1,Perpignan,Toulouse,Perpignan,tUlouSe,35,44,50,57,1,103
97,Je voudrais un trajet de Strasbourg à Bordeaux demain matin en première classe,1,Strasbourg,Bordeaux,Strasbourg,Bordeaux,25,35,38,46,0,34
98,"Salut, je voudrais un billet de train en partant de Strasbourg pour aller à RENNES demain pas trop cher",1,Strasbourg,Rennes,Strasbourg,RENNES,52,62,76,82,1,57
99,Je veux aller à TOURS (pas en train).,0,,,,,-1,-1,-1,-1,0,-1
100,J’ai besoin de un voyage de Clermont-Ferrand jusqu'à Angers aujourd'hui pas trop cher ?,1,Clermont-Ferrand,Angers,Clermont-Ferrand,Angers,28,44,53,59,0,101
101,"S'il te plaît, je veux une correspondance de Reism vers Le-Mans demain le plus rapide possible stp.",1,Reims,Le Mans,Reism,Le-Mans,45,50,56,63,1,391
102,Tu peux un billet de train de Pau jusque Paris dans 2 heures avec une correspondance ?,1,Pau,Paris,Pau,Paris,30,33,41,46,0,146
103,T'as des nouvelles de Lourdes ?,0,,,,,-1,-1,-1,-1,0,-1
104,Je souhaiterais un voyage en partant de orleans pour aller à aix-eN-provenCe ce soir en seconde ?,1,Orléans,Aix-en-Provence,orleans,aix-eN-provenCe,40,47,61,76,1,379
105,Tu peux un billet de train PeRPigNan → Bordeaux la semaine prochaine sans correspondance,1,Perpignan,Bordeaux,PeRPigNan,Bordeaux,27,36,39,47,1,229
106,"Salut, je voudrais un billet de train en partant de Metz pour aller à Reims demain en première classe tu peux regarder ?",1,Metz,Reims,Metz,Reims,52,56,70,75,0,262
107,Peux-tu un itinéraire Besancon → perpignan dans 2 heures sans correspondance est-ce possible ? Je vais voir mon ami Orange.,1,Besançon,Perpignan,Besancon,perpignan,22,30,33,42,1,64
108,"Hey, je veux un train au départ de Aix-en-Provence pour imoges samedi matin avec une correspondance",1,Aix-en-Provence,Limoges,Aix-en-Provence,imoges,35,50,56,62,1,347
109,J'aimerais un billet de train en partant de Avignon pour aller à Brest avec une correspondance Je dois rejoindre Troyes avant de partir.,1,Avignon,Brest,Avignon,Brest,44,51,65,70,0,411
110,Peux-tu un itinéraire REIMS - orléans demain après-midi en première classe tu peux regarder ?,1,Reims,Orléans,REIMS,orléans,22,27,30,37,1,65
111,Je veux un trajet depuis Orléans jusqu’à Strasbourg le plus rapide possible s'il te plaît.,1,Orléans,Strasbourg,Orléans,Strasbourg,25,32,41,51,0,208
112,"Salut, je voudrais un train de Grenoble jusque La-Rochelle la semaine prochaine Je dois rejoindre Milan avant de partir.",1,Grenoble,La Rochelle,Grenoble,La-Rochelle,31,39,47,58,1,54
113,J’ai besoin de un trajet de Nancy jusqu'à Port Boulet en seconde ?,1,Nancy,Port-Boulet,Nancy,Port Boulet,28,33,42,53,1,219
114,J’ai besoin de un billet de NANTES jusque Le-Mans samedi matin en première classe tu peux regarder ?,1,Nantes,Le Mans,NANTES,Le-Mans,28,34,42,49,1,366
115,Réserve-moi quelque chose.,0,,,,,-1,-1,-1,-1,0,-1
116,Peux-tu un itinéraire pour aller à CLerMoNT-ferraNd depuis aViGnon la semaine prochaine ? Avec Milan je voyage.,1,Avignon,Clermont-Ferrand,aViGnon,CLerMoNT-ferraNd,59,66,35,51,1,417
117,Tu peux un trajet de Orleans vers Saint-Étienne demain matin le plus rapide possible ?,1,Orléans,Saint-Étienne,Orleans,Saint-Étienne,21,28,34,47,1,158
118,"S'il te plaît, je veux un itinéraire entre lIlLe et aris dans 2 heures le plus rapide possible tu peux regarder ?",1,Lille,Paris,lIlLe,aris,43,48,52,56,1,254
119,"Bonjour, je veux un voyage Port-Boulet → Lyon aujourd'hui pas trop cher est-ce possible ?",1,Port-Boulet,Lyon,Port-Boulet,Lyon,27,38,41,45,0,201
120,Je voudrais un itinéraire de Marsielle jusqu'à reims demain après-midi sans correspondance ?,1,Marseille,Reims,Marsielle,reims,29,38,47,52,1,59
121,J'aimerais un itinéraire de Caen à MONTPELLIER ce soir en première classe,1,Caen,Montpellier,Caen,MONTPELLIER,28,32,35,46,1,105
122,Je veux un itinéraire en partant de Orléasn pour aller à Port-Boulet en première classe Je vais voir mon ami Albert.,1,Orléans,Port-Boulet,Orléasn,Port-Boulet,36,43,57,68,1,121
123,J’ai besoin de un itinéraire de dijoN à La Rochelle ce soir en seconde s'il te plaît.,1,Dijon,La Rochelle,dijoN,La Rochelle,32,37,40,51,1,145
124,"Avec Paris, on discute de LyON.",0,,,,,-1,-1,-1,-1,0,-1
125,Tu peux un billet RNENES - Avignon demain après-midi avec une correspondance s'il te plaît.,1,Rennes,Avignon,RNENES,Avignon,18,24,27,34,1,143
126,Je voudrais un billet de train depuis Toulouse jusqu’à Angers demain après-midi sans correspondance ?,1,Toulouse,Angers,Toulouse,Angers,38,46,55,61,0,51
127,Je souhaiterais une liaison ferroviaire depuis Grenoble jusqu’à Llle demain le plus rapide possible,1,Grenoble,Lille,Grenoble,Llle,47,55,64,68,1,268
128,J'aimerais un billet depuis aint-Malo jusqu’à Metz ce soir le plus rapide possible,1,Saint-Malo,Metz,aint-Malo,Metz,28,37,46,50,1,209
129,Je souhaiterais un billet au départ de Rennes pour Bordeaux ce soir en première classe tu peux regarder ?,1,Rennes,Bordeaux,Rennes,Bordeaux,39,45,51,59,0,288
130,Tu peux un billet de train de Clermont Ferrand jusque Avignon dans 2 heures avec une correspondance ?,1,Clermont-Ferrand,Avignon,Clermont Ferrand,Avignon,30,46,54,61,1,146
131,Je cherche un billet de train au départ de Perpignan pour Besançon demain en seconde ?,1,Perpignan,Besançon,Perpignan,Besançon,43,52,58,66,0,166
132,"Bonjour, je veux un voyage en partant de Toulouse pour aller à Clermnot-Ferrand ce soir tu peux regarder ? Avec Albert je voyage.",1,Toulouse,Clermont-Ferrand,Toulouse,Clermnot-Ferrand,41,49,63,79,1,135
133,"Avec Lourdes, on discute de Port-Boulet.",0,,,,,-1,-1,-1,-1,0,-1
134,"Hey, je veux une correspondance depuis rennes jusqu’à nice dans 2 heures tu peux regarder ? Je dois rejoindre Albert avant de partir.",1,Rennes,Nice,rennes,nice,39,45,54,58,1,144
135,Je souhaiterais une liaison ferroviaire de Nantes jusque brest vendredi le plus rapide possible tu peux regarder ?,1,Nantes,Brest,Nantes,brest,43,49,57,62,1,384
136,J'aimerais un itinéraire au départ de port-boulet pour Brest tu peux regarder ? Je vais voir mon ami Dieppe.,1,Port-Boulet,Brest,port-boulet,Brest,38,49,55,60,1,408
137,Je veux une liaison ferroviaire de Aix en Provence jusqu'à Caen samedi matin s'il te plaît. Je dois rejoindre Dieppe avant de partir.,1,Aix-en-Provence,Caen,Aix en Provence,Caen,35,50,59,63,1,330
138,Je voudrais un itinéraire de liLle jusque caeN samedi matin sans correspondance,1,Lille,Caen,liLle,caeN,29,34,42,46,1,172
139,"Hey, je veux un voyage de Rennes jusqu'à Avignon aujourd'hui pas trop cher stp.",1,Rennes,Avignon,Rennes,Avignon,26,32,41,48,0,285
140,J'aimerais une correspondance de Limoges jusqu'à Strasbourg samedi matin tu peux regarder ?,1,Limoges,Strasbourg,Limoges,Strasbourg,33,40,49,59,0,84
141,Je voudrais une liaison ferroviaire de Lyon jusqu'à Rennes vendredi en première classe ?,1,Lyon,Rennes,Lyon,Rennes,39,43,52,58,0,154
142,Tu peux un train entre Lile et Besançon vendredi en seconde ?,1,Lille,Besançon,Lile,Besançon,23,27,31,39,1,95
143,"Hey, je veux un billet au départ de Brest pour avignon sans correspondance ? Je vais voir mon ami Troyes.",1,Brest,Avignon,Brest,avignon,36,41,47,54,1,393
144,"Bonjour, je veux une liaison ferroviaire eiMs - Perpignan avec une correspondance Avec Florence je voyage.",1,Reims,Perpignan,eiMs,Perpignan,41,45,48,57,1,108
145,Tu peux un trajet Paris - Metz aujourd'hui en première classe ?,1,Paris,Metz,Paris,Metz,18,23,26,30,0,130
146,Je voudrais un billet de train Clermont Ferrand → oTurs dans 2 heures en première classe ? Je vais voir mon ami Dieppe.,1,Clermont-Ferrand,Tours,Clermont Ferrand,oTurs,31,47,50,55,1,52
147,Peux-tu un trajet au départ de Aix-en-Provence pour Lyon samedi matin sans correspondance stp.,1,Aix-en-Provence,Lyon,Aix-en-Provence,Lyon,31,46,52,56,0,218
148,Tu peux un train Montpellier - Orléans samedi matin Avec Orange je voyage.,1,Montpellier,Orléans,Montpellier,Orléans,17,28,31,38,0,398
149,J’ai besoin de un itinéraire de aNntes vers le mans dans 2 heures en première classe,1,Nantes,Le Mans,aNntes,le mans,32,38,44,51,1,22
150,Je pars demain.,0,,,,,-1,-1,-1,-1,0,-1
151,Je voudrais une liaison ferroviaire Toulouse → Lyon vendredi sans correspondance,1,Toulouse,Lyon,Toulouse,Lyon,36,44,47,51,0,237
152,"Bonjour, je veux un trajet pour aller à Besançon depuis Strasbourg vendredi pas trop cher stp.",1,Strasbourg,Besançon,Strasbourg,Besançon,56,66,40,48,0,86
153,J’ai besoin de un itinéraire entre lilLE et Ax-en-Provence samedi matin sans correspondance stp.,1,Lille,Aix-en-Provence,lilLE,Ax-en-Provence,35,40,44,58,1,388
154,J’ai besoin de une correspondance au départ de Lille pour Aix-en-Provence aujourd'hui ?,1,Lille,Aix-en-Provence,Lille,Aix-en-Provence,47,52,58,73,0,174
155,Je souhaiterais une correspondance Bordeaux → perpignan vendredi pas trop cher tu peux regarder ?,1,Bordeaux,Perpignan,Bordeaux,perpignan,35,43,46,55,1,53
156,Je veux une liaison ferroviaire Metz - Saint-Etienne demain le plus rapide possible Je vais voir mon ami Orange.,1,Metz,Saint-Étienne,Metz,Saint-Etienne,32,36,39,52,1,214
157,Tu peux un voyage de Port-Boulet jusqu'à REIMS aujourd'hui pas trop cher est-ce possible ? Je vais voir mon ami Dieppe.,1,Port-Boulet,Reims,Port-Boulet,REIMS,21,32,41,46,1,210
158,J’ai besoin de un voyage de Orléans jusqu'à Best aujourd'hui pas trop cher ?,1,Orléans,Brest,Orléans,Best,28,35,44,48,1,101
159,"S'il te plaît, je veux une liaison ferroviaire de Tours jusqu'à Sint-Étienne demain matin sans correspondance s'il te plaît.",1,Tours,Saint-Étienne,Tours,Sint-Étienne,50,55,64,76,1,138
160,Je voudrais aller voir mon ami Dieppe à Saint-Malo.,0,,,,,-1,-1,-1,-1,0,-1
161,"Bonjour, je veux un voyage entre Lile et Clermont Ferrand samedi matin le plus rapide possible s'il te plaît.",1,Lille,Clermont-Ferrand,Lile,Clermont Ferrand,33,37,41,57,1,122
162,Je pars demain.,0,,,,,-1,-1,-1,-1,0,-1
163,"Salut, je voudrais un train depuis Brest jusqu’à besançon en première classe est-ce possible ?",1,Brest,Besançon,Brest,besançon,35,40,49,57,1,278
164,Tu peux un billet depuis Saint-Malo jusqu’à Avignon vendredi pas trop cher est-ce possible ?,1,Saint-Malo,Avignon,Saint-Malo,Avignon,25,35,44,51,0,70
165,Je veux aller voir Dieppe.,0,,,,,-1,-1,-1,-1,0,-1
166,"S'il te plaît, je veux un trajet de Nantes à Dijon samedi matin s'il te plaît.",1,Nantes,Dijon,Nantes,Dijon,36,42,45,50,0,295
167,Peux-tu une liaison ferroviaire de Montpellier jusqu'à Port-Boulet aujourd'hui en seconde est-ce possible ?,1,Montpellier,Port-Boulet,Montpellier,Port-Boulet,35,46,55,66,0,175
168,"Avec Paris, on discute de Angers.",0,,,,,-1,-1,-1,-1,0,-1
169,"Bonjour, je veux un voyage en partant de Grenoble pour aller à Aix en Provence demain matin stp.",1,Grenoble,Aix-en-Provence,Grenoble,Aix en Provence,41,49,63,78,1,73
170,Quel temps fait-il à angers aujourd'hui ?,0,,,,,-1,-1,-1,-1,0,-1
171,Je souhaiterais un train de Limoges à LA rOcheLle demain matin sans correspondance s'il te plaît.,1,Limoges,La Rochelle,Limoges,LA rOcheLle,28,35,38,49,1,47
172,Tu peux un trajet au départ de Besaçnon pour Lille demain avec une correspondance,1,Besançon,Lille,Besaçnon,Lille,31,39,45,50,1,140
173,Tu peux un trajet entre Aix-en-Provence et Lille le plus rapide possible ?,1,Aix-en-Provence,Lille,Aix-en-Provence,Lille,24,39,43,48,0,362
174,Tu peux une correspondance entre aix eN PRovEnce et Brest dans 2 heures pas trop cher s'il te plaît.,1,Aix-en-Provence,Brest,aix eN PRovEnce,Brest,33,48,52,57,1,321
175,Je voudrais une liaison ferroviaire de Caen jusqu'à Aix en Provence ce soir en première classe est-ce possible ?,1,Caen,Aix-en-Provence,Caen,Aix en Provence,39,43,52,67,1,23
176,Je veux un itinéraire Strasbourg → Lille avec une correspondance,1,Strasbourg,Lille,Strasbourg,Lille,22,32,35,40,0,386
177,Tu peux un trajet entre Nice et AIX-en-proveNce demain avec une correspondance est-ce possible ?,1,Nice,Aix-en-Provence,Nice,AIX-en-proveNce,24,28,32,47,1,358
178,Tu peux un train pour aller à Caen depuis Lyon dans 2 heures sans correspondance ?,1,Lyon,Caen,Lyon,Caen,42,46,30,34,0,127
179,J’ai besoin de un voyage depuis Port Bouelt jusqu’à Le-Man demain après-midi en première classe ?,1,Port-Boulet,Le Mans,Port Bouelt,Le-Man,32,43,52,58,1,292
180,Je voudrais un itinéraire GRENOBLE → nancy demain matin pas trop cher ?,1,Grenoble,Nancy,GRENOBLE,nancy,26,34,37,42,1,139
181,Je souhaiterais un trajet Lille - Clermont Ferrand en première classe ?,1,Lille,Clermont-Ferrand,Lille,Clermont Ferrand,26,31,34,50,1,305
182,Je veux aller voir Paris.,0,,,,,-1,-1,-1,-1,0,-1
183,Peux-tu un billet de Reims vers Aners dans 2 heures en première classe ?,1,Reims,Angers,Reims,Aners,21,26,32,37,1,168
184,"Salut, je voudrais un itinéraire Perpignan → Saint-Malo aujourd'hui le plus rapide possible",1,Perpignan,Saint-Malo,Perpignan,Saint-Malo,33,42,45,55,0,304
